Class,text,header,pdfsize bins,metadata size bins,pages bins,xref Length bins,title characters bins,isEncrypted bins,embedded files bins,images bins,obj bins,endobj bins,stream bins,xref bins,trailer bins,startxref bins,pageno bins,encrypt bins,ObjStm bins,JS bins,Javascript bins,AA bins,OpenAction bins,Acroform bins,JBIG2Decode bins,RichMedia bins,launch bins,EmbeddedFile bins,XFA bins,Colors bins
1,1,10,45,1,0,135,0,0,0,0,76,76,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,1,21,7,10,0,18,26,0,0,0,18,18,62,1,1,1,0,0,0,0,0,0,0,2,0,0,0,7,2,0
1,2,10,45,59,0,135,7,0,0,0,76,76,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,1,10,7,15,0,7,0,0,0,0,7,7,0,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0
1,2,10,45,15,0,7,29,0,0,0,7,7,43,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,1,21,7,10,0,18,26,0,0,0,18,18,62,1,1,1,0,0,0,0,0,0,0,2,0,0,0,7,2,0
1,1,18,83,23,0,29,0,0,0,0,40,40,43,5,5,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1,1,10,45,15,0,7,0,0,0,0,7,7,0,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0
1,1,10,0,16,0,7,0,0,0,0,7,7,0,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0
1,1,15,7,16,0,7,0,0,0,0,7,7,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,1,15,45,7,0,29,0,0,0,0,7,7,43,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,15,45,14,0,7,0,0,0,0,7,7,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,1,34,63,1,0,135,0,0,0,0,76,76,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,1,15,90,1,1,74,0,0,0,0,18,18,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0
1,3,15,90,22,0,7,0,0,0,0,76,76,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,10,7,40,5,29,37,0,0,0,29,29,62,1,1,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0
1,1,3,0,1,0,132,0,0,0,0,76,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10,45,1,0,135,0,0,0,0,76,76,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,1,15,7,1,0,7,0,0,0,0,7,7,0,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0
1,2,10,45,12,0,7,22,0,0,0,7,7,43,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,1,15,7,16,0,7,0,0,0,0,7,7,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,1,15,90,1,2,52,0,0,0,0,29,29,0,1,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0
1,2,10,90,61,5,29,7,0,0,0,29,29,43,1,1,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0
1,1,15,45,14,0,18,0,0,0,0,7,7,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,1,21,8,16,0,1,26,0,0,0,44,44,57,7,7,6,2,0,0,4,4,5,0,0,0,0,0,0,0,0
1,1,15,45,7,0,7,0,0,0,0,76,76,43,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,10,45,1,0,7,0,0,0,0,76,76,0,1,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0
1,1,10,81,27,5,18,0,0,0,0,18,18,0,1,1,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0
1,1,15,45,16,0,7,0,0,0,0,7,7,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,2,15,92,32,5,23,28,0,0,1,80,80,47,4,4,10,16,0,0,5,5,8,0,0,0,0,0,0,0,0
1,1,21,90,10,0,18,26,0,0,0,18,18,62,1,1,1,0,0,0,0,0,0,0,2,0,0,0,7,2,0
1,1,15,40,16,0,7,0,0,0,0,7,7,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,1,21,90,10,0,18,26,0,0,0,18,18,62,1,1,1,0,0,0,0,0,0,0,2,0,0,0,7,2,0
1,1,10,52,1,0,135,0,0,0,0,76,76,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,2,10,90,38,5,18,37,0,0,0,18,18,43,1,1,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0
1,1,15,90,16,0,29,0,0,0,0,29,29,0,1,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0
1,1,15,90,16,0,40,0,0,0,0,40,40,43,1,1,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0
1,1,15,45,5,0,132,0,0,0,0,18,18,62,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
